Title,Company,Location,Apply
UI/UX Designer (internship),MindPal,"New York, United States",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708510304?refId=zdUr0FgkVDGMWkWw2x0iNg%3D%3D&trackingId=EmM1OWHFqQ%2FDPn85xHUiYQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Philadelphia, PA",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708513031?refId=zdUr0FgkVDGMWkWw2x0iNg%3D%3D&trackingId=ogczeYAWk6vGXrwHXq%2FYWw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"San Francisco, CA",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708510300?refId=zdUr0FgkVDGMWkWw2x0iNg%3D%3D&trackingId=UnwUZcYS0rgdtkp95oZozw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Los Angeles, CA",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708507730?refId=zdUr0FgkVDGMWkWw2x0iNg%3D%3D&trackingId=W%2FlAZHZIqe6cxqgp470mIQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"San Jose, CA",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708509585?refId=zdUr0FgkVDGMWkWw2x0iNg%3D%3D&trackingId=9o6c550rCLey5%2F4cKyJTFg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Chicago, IL",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708509715?refId=zdUr0FgkVDGMWkWw2x0iNg%3D%3D&trackingId=IxG9QbTr%2FOjn%2FTVBOpT%2FyQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Tampa, FL",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708511408?refId=zdUr0FgkVDGMWkWw2x0iNg%3D%3D&trackingId=NYPNtW2gjxPa6cQoixzxaQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Boston, MA",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708506862?refId=zdUr0FgkVDGMWkWw2x0iNg%3D%3D&trackingId=Sh0wzrDPUsjliA7jYiW9nQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
UI/UX Designer (internship),MindPal,"Seattle, WA",https://www.linkedin.com/jobs/view/ui-ux-designer-internship-at-mindpal-3708510339?refId=zdUr0FgkVDGMWkWw2x0iNg%3D%3D&trackingId=O8gbUyhlQJsJZOq904Ee5w%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
